feedline_width_fw_mm,patch_length_pl_mm,patch_width_pw_mm,resonant_frequency_ghz,minimum_s11_db,bandwidth_ghz,z_real,z_imaginary
0.467,2.46,3.31,38.833,-22.315,1.269001,74.306175,-3.3170124
0.467,2.47,2.95,39.19,-19.469,1.347,52.147973,2.6502721
0.467,2.47,2.99,39.13,-21.317,1.359001,54.292316,2.2155754
0.467,2.47,3.03,39.07,-23.693,1.368,56.540524,1.7784577
0.467,2.47,3.07,39.007,-26.807,1.370998,58.768325,1.3091063
0.467,2.47,3.11,38.959,-31.733,1.365002,61.088191,0.81103706
0.467,2.47,3.15,38.896,-43.215,1.355999,63.358431,0.14875692
0.467,2.47,3.19,38.851,-37.255,1.344002,65.947526,-0.51241714
0.467,2.47,3.23,38.794,-29.803,1.326001,68.370623,-1.1028316
0.467,2.47,3.27,38.746,-25.027,1.302001,71.50373,-2.2192853
0.467,2.47,3.31,38.704,-23.247,1.280999,73.300193,-2.6788366
0.467,2.48,2.95,39.058,-18.947,1.341,51.412622,2.4685211
0.467,2.48,2.99,38.998,-20.664,1.355999,53.523625,2.0728857
0.467,2.48,3.03,38.938,-22.831,1.368,55.736657,1.6805945
0.467,2.48,3.07,38.875,-25.578,1.368,57.927494,1.2551003
0.467,2.48,3.11,38.827,-29.639,1.368,60.21032,0.81187563
0.467,2.48,3.15,38.767,-37.039,1.359001,62.486884,0.38401009
0.467,2.48,3.19,38.722,-43.832,1.353,65.043328,-0.20335082
0.467,2.48,3.23,38.665,-32.063,1.332,67.427305,-0.72584075
0.467,2.48,3.27,38.617,-26.276,1.313999,70.532809,-1.7380599
0.467,2.48,3.31,38.575,-24.268,1.293,72.29664,-2.1423397
0.467,2.49,2.95,38.926,-18.464,1.332001,50.694127,2.2005704
0.467,2.49,2.99,38.869,-20.069,1.353001,52.797643,2.0060329
0.467,2.49,3.03,38.809,-22.062,1.365,54.977096,1.6571661
0.467,2.49,3.07,38.746,-24.521,1.368,57.133125,1.2753122
0.467,2.49,3.11,38.698,-27.983,1.371002,59.380665,0.88537188
0.467,2.49,3.15,38.638,-33.508,1.365001,61.6187,0.50744791
0.467,2.49,3.19,38.593,-62.37,1.356003,64.139854,-0.010845205
0.467,2.49,3.23,38.536,-35.065,1.340999,66.483366,-0.47363373
0.467,2.49,3.27,38.491,-27.708,1.322998,69.604021,-1.1964055
0.467,2.49,3.31,38.446,-25.403,1.305,71.285985,-1.7431263
0.467,2.5,2.95,38.797,-18.017,1.323002,50.02454,2.0550159
0.467,2.5,2.99,38.737,-19.525,1.347001,52.07237,1.7296183
0.467,2.5,3.03,38.68,-21.372,1.361999,54.240641,1.5856812
0.467,2.5,3.07,38.617,-23.6,1.368,56.361535,1.2443034
0.467,2.5,3.11,38.569,-26.622,1.370998,58.573044,0.9028211
0.467,2.5,3.15,38.509,-31.057,1.365,60.773863,0.57050974
0.467,2.5,3.19,38.464,-42.23,1.362004,63.257444,0.11543205
0.467,2.5,3.23,38.407,-39.545,1.347,65.561572,-0.29186691
0.467,2.5,3.27,38.362,-29.378,1.328999,68.643074,-0.92402171
0.467,2.5,3.31,38.32,-26.676,1.313999,70.339028,-1.2313485
0.467,2.51,2.95,38.665,-17.6,1.317001,49.354648,1.6756269
0.467,2.51,2.99,38.608,-19.024,1.341004,51.388577,1.5430729
0.467,2.51,3.03,38.551,-20.745,1.359001,53.520502,1.4339374
0.467,2.51,3.07,38.488,-22.783,1.365002,55.60601,1.1275824
